rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,701762,Nick Kurtz,ATH,COL,2026-06-14T19:05:00Z,Scheduled,1,Tomoyuki Sugano,608372,R,72.1,Tier 2,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",77.2,77.8,27.6,88.7,80.0,83.6,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 14.4% barrel, 18.3 HR allowed",EV profile; pitcher allows elevated contact,18.43,55.23,93.68,105.3873,0.5216,0.2703,0.3888,77.83,78.02,34.04,31.26,22.0,0.273,14.39,44.49,90.77,0.5646,0.2574,30.56,,,Las Vegas Ballpark,
2,695578,James Wood,WSH,SEA,2026-06-14T17:35:00Z,Scheduled,1,Emerson Hancock,676106,R,68.4,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",85.4,53.8,28.2,88.7,80.0,68.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.8% barrel, 11.5 HR allowed",EV profile; pitcher fly-ball pressure modest,22.42,57.56,95.21,106.5991,0.5819,0.3093,0.41,76.21,63.68,28.44,27.95,22.6,0.2526,9.8,44.18,89.98,0.4554,0.192,28.45,,,Nationals Park,
3,660271,Shohei Ohtani,LAD,CWS,2026-06-14T18:10:00Z,Scheduled,1,Erick Fedde,607200,R,66.8,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",82.0,48.6,27.6,88.7,80.0,87.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 15.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.02,55.27,94.13,104.2238,0.5972,0.3029,0.4264,74.96,52.17,49.5,33.39,26.3,0.2756,8.81,40.5,89.22,0.447,0.186,28.98,,,Rate Field,
4,670541,Yordan Alvarez,HOU,KC,2026-06-14T18:10:00Z,Scheduled,2,Stephen Kolek,663568,R,64.8,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",85.0,31.9,23.2,95.5,80.0,100.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.7% barrel, 6.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.16,52.9,94.63,105.3604,0.682,0.3525,0.4623,75.96,60.69,41.86,36.38,18.6,0.2788,6.66,40.37,89.56,0.378,0.125,22.58,,,Kauffman Stadium,
5,621439,Byron Buxton,MIN,STL,2026-06-14T18:10:00Z,Scheduled,2,Michael McGreevy,700241,R,62.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",70.5,52.9,27.1,95.5,50.0,99.5,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,5,Hot streak: 5 HR in last 7 games,"same-side matchup; pitcher baseline 9.7% barrel, 10.6 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,18.82,49.53,91.1,102.4802,0.5112,0.2667,0.3479,74.3,43.08,47.68,36.24,25.9,0.315,9.71,40.45,89.59,0.4913,0.2089,25.43,,,Target Field,
6,691016,Tyler Soderstrom,ATH,COL,2026-06-14T19:05:00Z,Scheduled,2,Tomoyuki Sugano,608372,R,62.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",46.2,77.8,27.6,95.5,80.0,84.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 14.4% barrel, 18.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.98,46.16,90.34,101.9154,0.4311,0.182,0.3347,74.14,40.63,35.79,27.84,15.2,0.2162,14.39,44.49,90.77,0.5646,0.2574,30.56,,,Las Vegas Ballpark,
7,669127,Shea Langeliers,ATH,COL,2026-06-14T19:05:00Z,Scheduled,3,Tomoyuki Sugano,608372,R,62.8,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",59.8,77.8,27.6,92.1,50.0,57.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,35,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 14.4% barrel, 18.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.03,44.62,91.53,102.7908,0.5183,0.2449,0.363,74.78,48.98,39.18,31.24,21.9,0.2583,14.39,44.49,90.77,0.5646,0.2574,30.56,,,Las Vegas Ballpark,
8,663457,Lars Nootbaar,STL,MIN,2026-06-14T18:10:00Z,Scheduled,5,Taj Bradley,671737,R,62.5,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Platoon Edge",75.3,51.4,27.1,81.9,80.0,52.8,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.6% barrel, 12.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.36,54.97,93.54,103.0765,0.5771,0.2943,0.401,74.45,48.16,40.17,31.14,5.3,0.2383,9.64,45.01,91.09,0.4099,0.1673,27.79,,,Target Field,
9,686527,Dominic Canzone,SEA,WSH,2026-06-14T17:35:00Z,Scheduled,6,Miles Mikolas,571945,R,62.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge, Hot Hitter/Streak",66.8,63.2,28.2,71.7,80.0,71.2,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,20,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.4% barrel, 18.5 HR allowed",EV profile; pitcher fly-ball pressure modest,16.11,49.63,92.93,103.4684,0.5435,0.2521,0.3844,74.15,42.58,39.55,27.21,10.3,0.2489,11.37,42.85,89.44,0.5025,0.2312,29.12,,,Nationals Park,
10,624413,Pete Alonso,BAL,SD,2026-06-14T17:35:00Z,Scheduled,4,Walker Buehler,621111,R,59.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",71.3,41.7,32.1,90.4,50.0,83.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 8.4% barrel, 9.4 HR allowed",EV profile; pitcher fly-ball pressure modest,14.49,55.52,94.55,104.0005,0.5426,0.2675,0.3797,74.88,49.34,35.8,31.3,22.6,0.231,8.45,40.04,89.72,0.4339,0.1575,20.57,,,Oriole Park at Camden Yards,
